Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size;ticker_incr;ticker_clingo
29;0.001034;0.0046367645263671875;0.009672164916992188;0.00567076452636719;0.0107061649169922;0.045284;0.149657964706421;0.271074056625366;0.194941964706421;0.316358056625366;0.000992;0.005113840103149414;0.01723790168762207;0.00610584010314941;0.0182299016876221;0.044177;0.17427921295166;0.406234502792358;0.21845621295166;0.450411502792358;8664;7868;81;99;5.306967767;20.786844562
30;0.001028;0.006051540374755859;0.01659393310546875;0.00707954037475586;0.0176219331054688;0.046312;0.155709505081177;0.287667989730835;0.202021505081177;0.333979989730835;0.001001;0.00630640983581543;0.018317699432373047;0.00730740983581543;0.019318699432373;0.045178;0.180585622787476;0.424552202224731;0.225763622787476;0.469730202224731;8664;7868;81;99;5.319974272;21.646193784
31;0.000997;0.005917072296142578;0.009725570678710938;0.00691407229614258;0.0107225706787109;0.047309;0.161626577377319;0.297393560409546;0.208935577377319;0.344702560409546;0.001005;0.0063018798828125;0.01695728302001953;0.0073068798828125;0.0179622830200195;0.046183;0.186887502670288;0.441509485244751;0.233070502670288;0.487692485244751;8664;7868;81;99;5.336866202;22.518438938
32;0.001015;0.004744529724121094;0.011095046997070312;0.00575952972412109;0.0121100469970703;0.048324;0.16637110710144;0.308488607406616;0.21469510710144;0.356812607406616;0.001102;0.006345510482788086;0.014460563659667969;0.00744751048278809;0.015562563659668;0.047285;0.193233013153076;0.455970048904419;0.240518013153076;0.503255048904419;8664;7868;81;100;5.356254544;23.389574116
33;0.001044;0.004727840423583984;0.011551141738891602;0.00577184042358398;0.0125951417388916;0.049368;0.171098947525024;0.320039749145508;0.220466947525024;0.369407749145508;0.001014;0.011196136474609375;0.018007278442382812;0.0122101364746094;0.0190212784423828;0.048299;0.204429149627686;0.473977327346802;0.252728149627686;0.522276327346802;8664;7868;81;100;5.376662592;24.277339466
34;0.001031;0.007886171340942383;0.009918212890625;0.00891717134094238;0.010949212890625;0.050399;0.178985118865967;0.329957962036133;0.229384118865967;0.380356962036133;0.000987;0.006367921829223633;0.016618728637695312;0.00735492182922363;0.0176057286376953;0.049286;0.210797071456909;0.490596055984497;0.260083071456909;0.539882055984497;8664;7868;81;100;5.395041328;25.144257666
35;0.001003;0.004782915115356445;0.014135360717773438;0.00578591511535645;0.0151383607177734;0.051402;0.183768033981323;0.344093322753906;0.235170033981323;0.395495322753906;0.000994;0.007580757141113281;0.016411542892456055;0.00857475714111328;0.0174055428924561;0.05028;0.218377828598022;0.507007598876953;0.268657828598022;0.557287598876953;8664;7868;81;100;5.406179648;26.028649978
36;0.00101;0.0047991275787353516;0.013109445571899414;0.00580912757873535;0.0141194455718994;0.052412;0.188567161560059;0.357202768325806;0.240979161560059;0.409614768325806;0.001027;0.007593631744384766;0.015513420104980469;0.00862063174438477;0.0165404201049805;0.051307;0.225971460342407;0.522521018981934;0.277278460342407;0.573828018981934;8664;7868;81;100;5.415089531;26.908765164
37;0.001037;0.005705595016479492;0.01260828971862793;0.00674259501647949;0.0136452897186279;0.053449;0.194272756576538;0.369811058044434;0.247721756576538;0.423260058044434;0.001021;0.008688688278198242;0.01851630210876465;0.00970968827819824;0.0195373021087646;0.052328;0.234660148620605;0.541037321090698;0.286988148620605;0.593365321090698;8664;7868;81;100;5.431546702;27.855103933
38;0.001015;0.0058557987213134766;0.012488603591918945;0.00687079872131348;0.0135036035919189;0.054464;0.200128555297852;0.382299661636353;0.254592555297852;0.436763661636353;0.000995;0.0062961578369140625;0.01560521125793457;0.00729115783691406;0.0166002112579346;0.053323;0.24095630645752;0.556642532348633;0.29427930645752;0.609965532348633;8664;7868;82;100;5.439623242;28.72536674
